S.No,Course Name,SME Name,Institute,Current Duration in weeks,No. of credits,NPTEL URL,Comments,Available for Jan- April 2026,Direct Swayam Link,NPTEL_ID,Available for Jul-Dec 2025
130,Automation In Production Systems and Management,Prof. Pradip Kumar Ray,IITKGP,12,3,https://nptel.ac.in/courses/110105155,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg135/preview,110105155,Yes
131,Introductory Rural Sociology: Continuity and Change,Prof. Ashish Saxena,University of Allahabad,8,2,https://nptel.ac.in/courses/109104203,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs221/preview,109104203,Yes
132,Organization Development and Change in 21st Century,Prof. Ashish Pandey,IITB,8,2,https://nptel.ac.in/courses/110101146,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg103/preview,110101146,Yes
133,"Fundamentals of Sports Training, Load Management and recovery","Col (Dr) Anup Krishnan (Retd)
Wg Cdr (Dr) CS Guru
Prof. Kaustubh Shedjale",IITM,8,2,https://nptel.ac.in/courses/109106407,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs157/preview,109106407,Yes
134,Postmodernism in Literature,Prof. Merin Simi Raj,IITM,8,2,https://nptel.ac.in/courses/109106130,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs130/preview,109106130,Yes
135,"Water, Society And Sustainability",Prof. Jenia Mukherjee,IITKGP,4,1,https://nptel.ac.in/courses/109105136,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs144/preview,109105136,Yes
136,Operations and Supply Chain Management,Prof. G. Srinivasan,IITM,12,3,https://nptel.ac.in/courses/110106045,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg105/preview,110106045,Yes
137,Indian Society: Sociological Perspectives,Prof. R. Santhosh,IITM,12,3,https://nptel.ac.in/courses/109106204,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs153/preview,109106204,Yes
138,"Literature, Culture and Media",Prof. Rashmi Gaur,IITR,12,3,https://nptel.ac.in/courses/109107139,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs162/preview,109107139,Yes
139,Partition of India in Print Media and Cinema,Prof. Sarbani Banerjee,IITR,12,3,https://nptel.ac.in/courses/109107196,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs165/preview,109107196,Yes
140,Countering Stage Fright,Prof. Smita Jha,IITR,4,1,https://nptel.ac.in/courses/109107203,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs168/preview,109107203,Yes
141,समास Samāsa In PāṇInian Grammar- II,Prof. Malhar Kulkarni,IITB,12,3,https://nptel.ac.in/courses/109101203,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs116/preview,109101203,Yes
142,Classical Sociological Theory,Prof. R. Santhosh,IITM,12,3,https://nptel.ac.in/courses/109106180,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs124/preview,109106180,Yes
143,"Indian Art: Materials, Techniques and Artistic Practices",Prof. Rajarshi Sengupta,IITK,12,3,https://nptel.ac.in/courses/109104196,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs180/preview,109104196,Yes
144,Econometric Modelling,Prof. Sujata Kar,IITR,8,2,https://nptel.ac.in/courses/110107153,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg100/preview,110107153,Yes
145,Sociology of Development,Prof. Sambit Mallick,IITG,12,3,https://nptel.ac.in/courses/109103185,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs191/preview,109103185,Yes
146,सन्धि sandhi in Paninian Grammar,Prof. Malhar Kulkarni,IITB,12,3,https://nptel.ac.in/courses/109101195,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs185/preview,109101195,Yes
147,Development of Sociology in India,Prof. Ashish Saxena,University of Allahabad,4,1,https://nptel.ac.in/courses/109104136,Added in Jan 2025,Yes,No,109104136,No
148,Education for Sustainable Development,Prof. Atasi Mohanty,IIT Kharagpur,12,3,https://nptel.ac.in/courses/109105190,Added in Jan 2025,Yes,No,109105190,No
149,Elements of Literature and Creative Communication,Prof. H.S. Komalesha,IIT Kharagpur,12,3,https://nptel.ac.in/courses/109105191,Added in Jan 2025,Yes,No,109105191,No
150,Employment Communication A Lab based course,Prof. Seema Singh,IIT Kharagpur,8,2,https://nptel.ac.in/courses/109105144,Added in Jan 2025,Yes,No,109105144,No
151,Introduction On Intellectual Property To Engineers And Technologists,Prof. Tapas Kumar Bandyopadhyay,IIT Kharagpur,8,2,https://nptel.ac.in/courses/109105112,Added in Jan 2025,Yes,No,109105112,No
152,Legal Compliance for Incorporating Startup,Prof. Indrajit Dube,IIT Kharagpur,4,1,https://nptel.ac.in/courses/109105098,Added in Jan 2025,Yes,No,109105098,No
153,Petroleum Economics and Management,Prof. Anwesha Aditya,IIT Kharagpur,12,3,https://nptel.ac.in/courses/109105198,Added in Jan 2025,Yes,No,109105198,No
154,Strategic Performance Management,Prof. K B L Srivastava,IIT Kharagpur,8,2,https://nptel.ac.in/courses/109105127,Added in Jan 2025,Yes,No,109105127,No
155,Training and Development,"Prof. Susmita Mukhopadhyay
 Prof. S. Srinivasan",IIT Kharagpur,12,3,https://nptel.ac.in/courses/109105192,Added in Jan 2025,Yes,No,109105192,No
156,Advanced Level of Spoken Sanskrit,Prof. Anuradha Choudry,IIT Kharagpur,8,2,https://nptel.ac.in/courses/109105189,Added in Jan 2025,Yes,No,109105189,No
157,Appreciating Hindustani Music,Prof. Lakshmi Sreeram,Ahmedabad University,8,2,https://nptel.ac.in/courses/109106191,Added in Jan 2025,Yes,No,109106191,No
158,Basics of language Science,Prof. Rajesh Kumar,IIT Madras,12,3,https://nptel.ac.in/courses/109106182,Added in Jan 2025,Yes,No,109106182,No
159,Bilingualism: A cognitive and psycholinguistic perspective,Prof. Bidisha Som,IIT Guwahati,8,2,https://nptel.ac.in/courses/109103198,Added in Jan 2025,Yes,No,109103198,No
160,Contextualizing Gender,Prof. Rashmi Gaur,IIT Roorkee,12,3,https://nptel.ac.in/courses/109107191,Added in Jan 2025,Yes,No,109107191,No
161,Economic Growth And Development,Prof. Rajshree Bedamatta,IIT Guwahati,8,2,https://nptel.ac.in/courses/110103093,Added in Jan 2025,Yes,No,110103093,No
162,Effective Writing,Prof. Binod Mishra,IIT Roorkee,4 + 4 (New),#VALUE!,https://nptel.ac.in/courses/109107172,Added in Jan 2025,Yes,No,109107172,No
163,"Energy Resources, Economics and Environment",Prof. Rangan Banerjee,IIT Delhi,12,3,https://nptel.ac.in/courses/109101171,Added in Jan 2025,Yes,No,109101171,No
164,English language for competitive exams,Prof. Aysha Viswamohan,IIT Madras,12,3,https://nptel.ac.in/courses/109106116,Added in Jan 2025,Yes,https://onlinecourses.nptel.ac.in/noc25_hs137/preview,109106116,Yes
165,Exploring Survey Data on Health Care,Prof. Pratap C. Mohanty,IIT Roorkee,8,2,https://nptel.ac.in/courses/109107190,Added in Jan 2025,Yes,No,109107190,No
166,Globalization: Theoretical Perspectives,Prof. R. Santhosh,IIT Madras,12,3,https://nptel.ac.in/courses/109106183,Added in Jan 2025,Yes,No,109106183,No
167,Group Dynamics,Prof. Pooja Garg,IIT Roorkee,8,2,https://nptel.ac.in/courses/109107199,Added in Jan 2025,Yes,No,109107199,No
168,Health Research Fundamentals,Prof. P. Manickam,NIE,8,2,https://nptel.ac.in/courses/109106095,Added in Jan 2025,Yes,https://onlinecourses.nptel.ac.in/noc25_hs172/preview,109106095,Yes
169,Indian Business History,Prof. Vipul Dutta,IIT Guwahati,8,2,https://nptel.ac.in/courses/109103171,Added in Jan 2025,Yes,No,109103171,No
170,Indian Feminisms: Concepts and Issues,Prof. Anandita Pan,IIT Hyderabad,4,1,https://nptel.ac.in/courses/109106199,Added in Jan 2025,Yes,No,109106199,No
171,Indian Poetry in English,Prof. Binod Mishra,IIT Roorkee,8,2,https://nptel.ac.in/courses/109107189,Added in Jan 2025,Yes,No,109107189,No
172,Introducing Modern Western Art: Movements and Artists,Prof. Soumik Nandy Majumdar,"Visva Bharati University, Santiniketan",4,1,https://nptel.ac.in/courses/109104117,Added in Jan 2025,Yes,No,109104117,No
173,Introduction To Cognitive Psychology,Prof. Naveen Kashyap,IIT Guwahati,12,3,https://nptel.ac.in/courses/109103134,Added in Jan 2025,Yes,No,109103134,No
174,Introduction to Environmental Economics,"Prof. Diptimayee Nayak
Prof. S. P. Singh",IIT Roorkee,12,3,https://nptel.ac.in/courses/109107171,Added in Jan 2025,Yes,No,109107171,No
175,Introduction To Modern Indian Political Thought,Prof. Mithilesh Kumar Jha,IIT Guwahati,12,3,https://nptel.ac.in/courses/109103135,Added in Jan 2025,Yes,No,109103135,No
176,Introduction To Political Theory,Prof. Mithilesh Kumar Jha,IIT Guwahati,12,3,https://nptel.ac.in/courses/109103141,Added in Jan 2025,Yes,No,109103141,No
177,Japani Bhasha - Saral swaroop,Prof. Vatsala Misra,IIT Kanpur,12,3,https://nptel.ac.in/courses/109104194,Added in Jan 2025,Yes,No,109104194,No
178,"Language, Culture And Cognition: An Introduction",Prof. Bidisha Som,IIT Guwahati,8,2,https://nptel.ac.in/courses/109103189,Added in Jan 2025,Yes,No,109103189,No
179,Literary Criticism (From Plato to Leavis),Prof. Merin Simi Raj,IIT Madras,12,3,https://nptel.ac.in/courses/109106171,Added in Jan 2025,Yes,No,109106171,No
180,Literature and Coping Skills,Prof. Ajit K Mishra,IIT(BHU) Varanasi,8,2,https://nptel.ac.in/courses/109104183,Added in Jan 2025,Yes,No,109104183,No
181,Literature and Life,Prof. S P Dhanavel,IIT Madras,12,3,https://nptel.ac.in/courses/109106189,Added in Jan 2025,Yes,No,109106189,No
182,Modern Indian Writing in Translation,Prof. Divya A,IIT Madras,12,3,https://nptel.ac.in/courses/109106173,Added in Jan 2025,Yes,No,109106173,No
183,"Narrative Mode and Fiction renamed as 'Fiction: Epics, Novels and Poetry'",Prof. Sarbani Banerjee,IIT Roorkee,12,3,https://nptel.ac.in/courses/109107198,Added in Jan 2025,Yes,No,109107198,No
184,Online Communication in the Digital Age,Prof. Rashmi Gaur,IIT Roorkee,12,3,https://nptel.ac.in/courses/109107394,Added in Jan 2025,Yes,No,109107394,No
185,Philosophy and Critical Thinking,Prof. Gyan Prakash,IIT-ISM Dhanbad,12,3,https://nptel.ac.in/courses/109105396,Added in Jan 2025,Yes,No,109105396,No
186,Phonetics And Phonology: A Broad Overview,Prof. Shakuntala Mahanta,IIT Guwahati,8,2,https://nptel.ac.in/courses/109103183,Added in Jan 2025,Yes,No,109103183,No
187,Psychiatry - An Overview and How the Brain Creates Mind,Prof. Alok Bajpai,IIT Kanpur,8,2,"https://nptel.ac.in/courses/109104096
https://nptel.ac.in/courses/109104108",Added in Jan 2025,Yes,No,109104096,No
188,"Psychology Of Stress, Health And Well-Being",Prof. Dilwar Hussain,IIT Guwahati,12,3,https://nptel.ac.in/courses/109103182,Added in Jan 2025,No,No,109103182,No
189,Science Communication: Research Productivity and Data Analytics using Open Source Software,"Prof. Nabi Hasan
Prof. Mohit Garg",IIT Delhi,12,3,https://nptel.ac.in/courses/109102392,Added in Jan 2025,Yes,No,109102392,No
190,Strength & Conditioning for the Indian Population,"Prof. Deckline Leitao
Prof. Varun Suresh Kumar",IIT Madras,12,3,https://nptel.ac.in/courses/109106404,Added in Jan 2025,Yes,No,109106404,No
191,Technology Transfer Through Joint Venture,Prof. Indrajit Dube,IIT Kharagpur,4,1,https://nptel.ac.in/courses/109105097,Added in Jan 2025,Yes,No,109105097,No
192,Trauma and Literature,Prof. Avishek Parui,IIT Madras,12,3,https://nptel.ac.in/courses/109106186,Added in Jan 2025,No,No,109106186,No
193,United Nations Sustainable Development Goals (UN SDGs),Prof. Shiva Ji,IIT Hyderabad,12,3,https://nptel.ac.in/courses/109106200,Added in Jan 2025,Yes,No,109106200,No
194,Cognitive Ergonomics,Prof. M. K. Asthana,IIT Roorkee,4,1,https://nptel.ac.in/courses/109107399,Added in Jan 2025,Yes,No,109107399,No
195,Enhancing Soft Skills and Personality,Prof. T. Ravichandran,IIT Kanpur,8,2,https://nptel.ac.in/courses/109104115,Added in Jan 2025,Yes,No,109104115,No
196,Essentials of Sports Injury Prevention & Rehabilitation,"Col (Dr) Anup Krishnan (Retd)
Wg Cdr (Dr) CS Guru
Lt Col (Dr) Atul Sharma",IIT Madras,8,2,https://nptel.ac.in/courses/109106405,Added in Jan 2025,Yes,No,109106405,No
197,Forensic Linguistics,Prof. Deepak Mashru,National Forensic Sciences Universtiy (INI),4,1,https://nptel.ac.in/courses/109106408,Added in Jan 2025,Yes,No,109106408,No
198,Human Behaviour,Prof. Naveen Kashyap,IIT Guwahati,8,2,https://nptel.ac.in/courses/109103142,Added in Jan 2025,Yes,No,109103142,No
199,Human Movement Science,"Prof. Shruti Bhandurge
Prof. Subham Badhyal",IIT Madras,8,2,https://nptel.ac.in/courses/109106401,Added in Jan 2025,Yes,No,109106401,No
200,Introduction To Modern Indian Drama,Prof. Kiran Keshavamurthy,IIT Guwahati,8,2,https://nptel.ac.in/courses/109103140,Added in Jan 2025,No,No,109103140,No
201,Modern Indian Art From the Colonial Period to the Present,Prof. Soumik Nandy Majumdar,"Visva Bharati University, Santiniketan",4,1,https://nptel.ac.in/courses/109104176,Added in Jan 2025,Yes,No,109104176,No
202,Psychology Of Bilingualism And Multilingualism,Prof. Ark Verma,IIT Kanpur,8,2,https://nptel.ac.in/courses/109104398,Added in Jan 2025,Yes,No,109104398,No
203,Sociology and Sanitation: An Introduction,Prof. Ashish Saxena,University of Allahabad,4,1,https://nptel.ac.in/courses/109104400,Added in Jan 2025,Yes,No,109104400,No
204,The Science of Happiness and Wellbeing,"Prof. Priyadarshi Patnaik
Prof. Manas K Mandal",IIT Kharagpur,8,2,https://nptel.ac.in/courses/109105199,Added in Jan 2025,Yes,https://onlinecourses.nptel.ac.in/noc25_hs141/preview,109105199,Yes
205,Towards an Ethical Digital Society: From Theory to Practice,Prof. Amit Prakash,IIIT Bangalore,4,1,https://nptel.ac.in/courses/109106184,Added in Jan 2025,Yes,No,109106184,No
206,Advanced Financial Instruments for Sustainable Business and Decentralized Markets,Prof. Abhinava Tripathi,IIT Kanpur,12,3,https://nptel.ac.in/courses/110104437,Added in Jan 2025,Yes,No,110104437,No
207,Advances in Strategic Human Resource Management (HRM),Prof. Ashish Pandey,IIT Bombay,4,1,https://nptel.ac.in/courses/110101164,Added in Jan 2025,Yes,No,110101164,No
208,AI in Marketing,Prof. Zillur Rahman,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107431,Added in Jan 2025,No,No,110107431,No
209,Artificial Intelligence (AI) for Investments,Prof. Abhinava Tripathi,IIT Kanpur,12,3,https://nptel.ac.in/courses/110104164,Added in Jan 2025,No,No,110104164,No
210,Business analytics and data mining Modeling using R,Prof. Gaurav Dixit,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107092,Added in Jan 2025,Yes,No,110107092,No
211,Business Analytics For Management Decision,Prof. Rudra P Pradhan,IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105089,Added in Jan 2025,Yes,No,110105089,No
212,Business Development: From Start to Scale,Prof. C Bhaktavatsala Rao,IIT Madras,12,3,https://nptel.ac.in/courses/110106164,Added in Jan 2025,Yes,No,110106164,No
213,Business Ethics,Prof. Susmita Mukhopadhyay,IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105079,Added in Jan 2025,Yes,No,110105079,No
214,Business Law for Managers,"Prof. S. Srinivasan
Prof. Kaushik Mukherjee",IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105159,Added in Jan 2025,Yes,No,110105159,No
215,Data Analysis and Decision Making - I,Prof. Raghu Nandan Sengupta,IIT Kanpur,12,3,https://nptel.ac.in/courses/110104094,Added in Jan 2025,Yes,No,110104094,No
216,Financial accounting - IITMandi,Prof. Puran Singh,IIT Mandi,12,3,https://nptel.ac.in/courses/110106147,Added in Jan 2025,Yes,No,110106147,No
217,Financial Institutions and Markets,Prof. Jitendra Mahakud,IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105121,Added in Jan 2025,Yes,No,110105121,No
218,Financial Management For Managers,Prof. Anil K. Sharma,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107144,Added in Jan 2025,Yes,No,110107144,No
219,Financial Statement Analysis and Reporting,Prof. Anil K. Sharma,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107073,Added in Jan 2025,Yes,No,110107073,No
220,Global Marketing Management,Prof. Zillur Rahman,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107112,Added in Jan 2025,No,No,110107112,No
221,Infrastructure Economics,Prof. Nalin Bharti,IIT Patna,8,2,https://nptel.ac.in/courses/109106089,Added in Jan 2025,Yes,No,109106089,No
222,Innovation in Marketing and Marketing of Innovation,Prof. Vinay Sharma,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107432,Added in Jan 2025,Yes,No,110107432,No
223,Integrated Marketing Communication,Prof. Vinay Sharma,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107158,Added in Jan 2025,Yes,No,110107158,No
224,Integrated Marketing Management,Prof. R. Srinivasan,IISc Bangalore,8,2,https://nptel.ac.in/courses/110108141,Added in Jan 2025,Yes,No,110108141,No
225,International Business,Prof. Jogendra K. Nayak,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107145,Added in Jan 2025,Yes,No,110107145,No
226,International Marketing,Prof. Biswarup Ghosh,IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105157,Added in Jan 2025,Yes,No,110105157,No
227,Leadership and Team Effectiveness,Prof. Santosh Rangnekar,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107159,Added in Jan 2025,Yes,No,110107159,No
228,Leadership for India Inc: Practical Concepts and Constructs,Prof. C Bhaktavatsala Rao,IIT Madras,12,3,https://nptel.ac.in/courses/110106151,Added in Jan 2025,Yes,No,110106151,No
229,Management of Field Sales,Prof. Jayanta Chatterjee,IIT Kanpur,4,1,https://nptel.ac.in/courses/110104117,Added in Jan 2025,Yes,No,110104117,No
230,Management of Inventory Systems,Prof. Pradip Kumar Ray,IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105095,Added in Jan 2025,Yes,No,110105095,No
231,Management of New Products and Services,Prof. Jayanta Chatterjee,IIT Kanpur,4,1,https://nptel.ac.in/courses/110104084,Added in Jan 2025,Yes,No,110104084,No
232,Managing change in organizations,Prof. KBL Srivastava,IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105120,Added in Jan 2025,Yes,No,110105120,No
233,Marketing Analytics,Prof. Swagato Chatterjee,IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105142,Added in Jan 2025,Yes,No,110105142,No
234,Modelling and Analytics for Supply Chain Management,"Prof. Kunal Kanti Ghosh
Prof. Anupam Ghosh",IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105141,Added in Jan 2025,Yes,No,110105141,No
235,Multivariate Procedures with R (in English language),Prof. Shalabh,IIT Kanpur,12,3,https://nptel.ac.in/courses/110104440,Added in Jan 2025,No,No,110104440,No
236,Organizational Behaviour: Individual Dynamics in Organization,Prof. Abraham Cyril Issac,IIT Guwahati,12,3,https://nptel.ac.in/courses/110103433,Added in Jan 2025,Yes,No,110103433,No
237,Organizational Design Change and Transformation,"Prof. Susmita Mukhopadhyay
Prof. Sangeeta Sahney
Prof. S. Srinivasan",IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105164,Added in Jan 2025,Yes,No,110105164,No
238,Principles of Management,Prof. Usha Lenka,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107150,Added in Jan 2025,Yes,No,110107150,No
239,Production and Operation Management,Prof. Rajat Agrawal,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107141,Added in Jan 2025,Yes,No,110107141,No
240,Quality Design And Control,Prof. Pradip Kumar Ray,IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105088,Added in Jan 2025,Yes,No,110105088,No
241,Retail Management,Prof. Swagato Chatterjee,IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105158,Added in Jan 2025,Yes,No,110105158,No
242,Safety and Risk Analytics,Prof. Jhareswar Maiti,IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105160,Added in Jan 2025,Yes,No,110105160,No
243,Services Marketing: A Practical Approach,Prof. Biplab Datta,IIT Kharagpur,4,1,https://nptel.ac.in/courses/110105078,Added in Jan 2025,Yes,No,110105078,No
244,Simulation of Business Systems: An Applied Approach,Prof. Deepu Philip,IIT Kanpur,8,2,https://nptel.ac.in/courses/110104096,Added in Jan 2025,No,No,110104096,No
245,Strategic Services Marketing,Prof. Kalpak Kulkarni,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107434,Added in Jan 2025,Yes,No,110107434,No
246,Strategic Sourcing,Prof. Arshinder Kaur,IIT Madras,12,3,https://nptel.ac.in/courses/110106435,Added in Jan 2025,Yes,No,110106435,No
247,Supply Chain Digitization,"Prof. Priyanka Verma
Prof. Sushmita Narayana
Prof. Debabrata Das",IIT Bombay,12,3,https://nptel.ac.in/courses/110101436,Added in Jan 2025,Yes,No,110101436,No
248,Systems Engineering: Theory & Practice,Prof. Deepu Philip,IIT Kanpur,8,2,https://nptel.ac.in/courses/110104074,Added in Jan 2025,Yes,No,110104074,No
249,Talent Acquisition and Management,Prof. Santosh Rangnekar,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107152,Added in Jan 2025,Yes,No,110107152,No
250,Technology Forecasting for strategic decision making - An Introduction,"Prof. Dmitry Kucharavy
Prof. Bala Ramadurai","EM Strasbourg Business School (University of Strasbourg)
  and IITM",4,1,https://nptel.ac.in/courses/110106150,Added in Jan 2025,Yes,No,110106150,No
251,Business Forecasting,Prof. Pankaj Dutta,IIT Bombay,8,2,https://nptel.ac.in/courses/110101438,Added in Jan 2025,Yes,No,110101438,No
252,Marketing Management - II,"Prof.Jayanta Chatterjee
Prof. Shashi Shekhar Mishra",IIT Kanpur,8,2,https://nptel.ac.in/courses/110104070,Added in Jan 2025,Yes,No,110104070,No
253,"Mergers, Acquisitions and Corporate Restructuring",Prof. Chandra Sekhar Mishra,IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105165,Added in Jan 2025,Yes,No,110105165,No
254,Project Management,Prof. Ramesh Anbanandam,IIT Roorkee,8,2,https://nptel.ac.in/courses/110107430,Added in Jan 2025,Yes,https://onlinecourses.nptel.ac.in/noc25_mg78/preview,110107430,Yes
255,Sales and Distribution Management,Prof. Sangeeta Sahney,IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105122,Added in Jan 2025,Yes,No,110105122,No
256,HR Analytics,"Prof. Santosh Rangnekar
Prof. Abhishek Singh",IIT Roorkee,12,3,https://nptel.ac.in/courses/110107492,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs112/preview,110107492,Yes
257,Logistics & Supply Chain Management,Prof. Vikas Thakur,IIT Kharagpur,12,3,https://nptel.ac.in/courses/109105494,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs205/preview,109105494,Yes
258,Managerial Skills for Interpersonal Dynamics,Prof. Santosh Rangnekar,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107143,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg91/preview,110107143,Yes
259,The English Novel: Interdisciplinary Approaches,Prof. Aruni Mahapatra & Prof. Smita Jha,IIT Roorkee,8,2,https://nptel.ac.in/courses/109107498,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs169/preview,109107498,Yes
260,Korean I,Prof. Soo Jin Shim,IIT Madras,12,3,https://nptel.ac.in/courses/109106499,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs173/preview,109106499,Yes
261,Introduction to Language and Linguistics,"Prof. Dripta Piplai (Mondal)
Prof. Bornini Lahiri",IIT Kharagpur,12,3,https://nptel.ac.in/courses/109105205,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs203/preview,109105205,Yes
262,An Introduction to Indian Literary Theory,Prof. Sreenath V.S,IISER Bhopal,8,2,https://nptel.ac.in/courses/109106195,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs132/preview,109106195,Yes
263,Performance and Reward Management,Prof. Susmita Mukhopadyay,IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105137,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg145/preview,110105137,Yes
264,Strategic Management,Prof. Vinay Sharma,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107509,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg111/preview,110107509,Yes
265,Brand Management,Prof. Abhishek Kumar,"Army Institute of Management, Kolkata",8,2,https://nptel.ac.in/courses/110104167,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg119/preview,110104167,Yes
266,Knowledge Management,Prof. K B L Srivastava,IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105076,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg148/preview,110105076,Yes
267,Business Marketing - Technology Focus,Prof. Jayanta Chatterjee,IIT Kanpur,8,2,https://nptel.ac.in/courses/110104507,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg120/preview,110104507,Yes
268,Urbanization and Environment,Prof. Jenia Mukherjee,IIT Kharagpur,8,2,https://nptel.ac.in/courses/109105185,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs113/preview,109105185,Yes
269,Introduction to GST,Prof. Anil Sharma,The Institute of Cost Accountants of India (ICMAI),8,2,https://nptel.ac.in/courses/110106512,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg109/preview,110106512,Yes
270,Introduction to Film Studies,Prof. Aysha Viswamohan,IIT Madras,12,3,"https://nptel.ac.in/courses/109106079
https://nptel.ac.in/courses/109106170",Added in May 2025,Yes,https://onlinecourses.nptel.ac.in/noc25_hs138/preview,109106079,Yes
271,"Project Management : Planning, Execution, Evaluation and Control",Prof. Sanjib Chowdhury,IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105167,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg127/preview,110105167,Yes
272,Security Analysis & Portfolio Management,Prof. J. P Singh,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107154,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg98/preview,110107154,Yes
273,Quantitative Investment Management,Prof. J. P Singh,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107162,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg97/preview,110107162,Yes
274,Advanced Algorithmic Trading and Portfolio Management,Prof. Abhinava Tripathi,IIT Kanpur,8,2,https://nptel.ac.in/courses/110104169,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg118/preview,110104169,Yes
275,HR Analytics,"Prof. Santosh Rangnekar
Prof. Abhishek Singh",IIT Roorkee,12,3,https://nptel.ac.in/courses/110107492,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs112/preview,110107492,Yes
276,Logistics & Supply Chain Management,Prof. Vikas Thakur,IIT Kharagpur,12,3,https://nptel.ac.in/courses/109105494,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs205/preview,109105494,Yes
